dir,pong_x,pong_y,bot_x,quality,win
1,110,904,120,-784,False
1,770,447,788,341,True
1,148,417,266,-151,False
0,762,481,853,372,True
-1,481,302,303,1,True
-1,375,883,-28,-911,False
-1,819,246,357,111,True
0,528,12,321,309,False
-1,348,688,22,-666,False
0,859,709,624,-85,True
0,915,959,85,-874,True
-1,789,558,244,-314,True
-1,414,656,290,-366,False
1,950,591,928,337,True
1,966,888,850,-38,True
1,730,90,316,226,True
-1,765,584,361,-223,True
-1,614,296,-88,-384,True
1,125,133,560,427,False
0,195,899,249,-650,False
0,42,299,450,151,False
0,717,827,821,-6,True
1,287,856,1050,194,False
0,64,414,169,-245,False
0,805,133,664,531,True
-1,112,443,637,194,False
0,851,764,691,-73,True
1,361,504,292,-212,False
0,576,160,876,716,True
1,765,549,944,395,True
-1,444,72,524,452,True
-1,884,975,366,-609,True
-1,546,594,270,-324,True
0,646,99,682,583,True
1,725,768,281,-487,True
1,441,962,278,-684,False
1,336,656,757,101,False
1,967,858,625,-233,True
0,172,925,108,-817,False
1,393,191,562,371,False
-1,623,727,13,-714,True
1,237,143,210,67,False
1,970,258,543,285,True
0,876,386,76,-310,True
1,505,441,858,417,False
0,400,491,993,502,False
-1,104,73,-4,-77,False
0,656,505,263,-242,True
-1,525,107,133,26,True
1,111,437,695,258,False
0,995,347,696,349,True
-1,243,916,521,-395,False
1,310,462,558,96,False
1,763,281,566,285,True
-1,270,78,591,513,False
0,437,723,903,180,False
0,775,281,632,351,True
-1,594,112,12,-100,True
-1,407,822,372,-450,False
-1,561,279,769,490,True
-1,990,32,734,702,True
-1,174,184,0,-184,False
0,828,240,326,86,True
1,81,889,982,93,False
-1,826,417,659,242,True
1,870,833,1020,187,True
0,157,403,803,400,False
1,928,646,268,-378,True
0,414,760,727,-33,False
-1,698,741,199,-542,True
0,880,538,49,-489,True
0,597,496,934,438,True
-1,247,959,496,-463,False
0,610,109,27,-82,True
-1,381,658,893,235,False
0,165,207,374,167,False
0,157,74,780,706,False
0,523,48,585,537,False
-1,999,941,454,-487,True
1,535,771,941,170,False
-1,368,118,441,323,False
1,251,844,1014,170,False
1,78,824,601,-223,False
1,557,833,607,-226,False
1,826,666,880,214,True
0,778,246,238,-8,True
0,225,719,994,275,False
0,292,490,733,243,False
0,204,105,152,47,False
1,298,571,741,170,False
-1,728,273,862,589,True
-1,909,944,444,-500,True
0,999,485,615,130,True
0,176,877,612,-265,False
-1,670,400,-82,-482,True
1,129,837,954,117,False
-1,676,218,19,-199,True
1,858,839,315,-524,True
0,378,353,786,433,False
1,267,727,333,-394,False
-1,116,62,95,33,False
0,763,781,585,-196,True
1,335,622,833,211,False
0,447,508,446,-62,False
-1,241,329,-33,-362,False
1,871,832,1087,255,True
-1,622,692,27,-665,True
1,929,818,1048,230,True
-1,4,614,725,111,False
-1,203,226,563,337,False
-1,911,510,443,-67,True
0,579,182,129,-53,False
1,391,610,132,-478,False
-1,220,554,344,-210,False
-1,901,620,494,-126,True
-1,364,48,859,811,False
0,158,414,980,566,False
0,386,402,255,-147,False
0,71,727,583,-144,False
-1,907,123,560,437,True
0,2,335,665,330,False
1,913,539,866,327,True
-1,103,495,512,17,False
1,563,895,616,-279,False
-1,146,897,-54,-951,False
0,115,67,604,537,False
0,954,810,441,-369,True
-1,730,743,164,-579,True
1,718,541,595,54,True
-1,843,265,447,182,True
-1,274,572,55,-517,False
1,725,585,671,86,True
-1,145,346,586,240,False
-1,155,237,784,547,False
-1,213,538,114,-424,False
-1,771,750,385,-365,True
0,363,131,74,-57,False
-1,974,272,882,610,True
-1,197,365,244,-121,False
-1,326,10,741,731,False
-1,371,307,763,456,False
1,987,185,578,393,True
1,207,961,753,-208,False
0,866,480,845,365,True
-1,34,739,102,-637,False
-1,792,288,672,384,True
0,62,942,504,-438,False
0,90,152,379,227,False
-1,517,574,521,-53,True
0,44,702,980,278,False
1,496,409,648,239,False
-1,925,774,19,-755,True
-1,226,418,699,281,False
1,851,510,984,474,True
0,776,860,733,-127,True
1,549,335,492,157,False
-1,274,526,172,-354,False
1,441,334,139,-195,False
1,511,479,348,-131,False
1,62,159,529,370,False
0,646,178,979,801,True
1,129,908,172,-736,False
0,955,457,294,-163,True
-1,834,233,715,482,True
0,801,439,519,80,True
0,391,565,651,86,False
1,826,620,755,135,True
1,372,14,528,514,False
0,286,641,539,-102,False
0,499,887,113,-774,False
0,397,537,742,205,False
1,284,166,846,680,False
0,906,146,755,609,True
0,397,770,571,-199,False
0,292,155,756,601,False
1,762,801,492,-309,True
0,151,602,157,-445,False
0,562,93,867,774,True
0,359,756,174,-582,False
1,937,15,944,929,True
0,663,868,254,-614,True
0,646,407,183,-224,True
0,290,727,631,-96,False
1,733,448,593,145,True
1,383,642,461,-181,False
1,443,15,133,118,False
0,908,563,875,312,True
0,737,193,319,126,True
-1,622,327,697,370,True
-1,922,388,516,128,True
-1,896,632,483,-149,True
-1,647,294,365,71,True
-1,7,932,695,-237,False
-1,457,990,775,-215,False
0,536,653,888,235,True
-1,917,762,792,30,True
-1,389,658,486,-172,False
-1,19,214,644,430,False
1,45,923,541,-382,False
-1,830,257,158,-99,True
0,832,357,34,-323,True
0,14,425,751,326,False
0,110,845,17,-828,False
-1,634,460,-22,-482,True
-1,657,784,145,-639,True
1,913,707,167,-540,True
0,778,373,415,42,True
-1,717,826,693,-133,True
-1,80,656,512,-144,False
0,823,733,171,-562,True
0,196,298,493,195,False
-1,680,126,774,648,True
-1,240,820,554,-266,False
1,375,321,147,-174,False
-1,68,47,578,531,False
0,833,540,526,-14,True
-1,700,781,548,-233,True
0,470,168,378,210,False
1,873,203,872,669,True
0,66,402,570,168,False
0,460,819,108,-711,False
-1,463,774,467,-307,False
1,30,689,391,-298,False
0,776,211,602,391,True
-1,110,305,57,-248,False
1,164,661,981,320,False
-1,699,945,488,-457,True
1,795,229,759,530,True
-1,555,890,780,-110,True
0,481,904,550,-354,False
0,400,473,436,-37,False
0,712,633,873,240,True
-1,693,779,660,-119,True
0,539,734,568,-166,True
-1,121,615,330,-285,False
-1,120,48,126,78,False
-1,584,786,591,-195,True
0,486,201,749,548,False
1,638,216,400,184,True
0,988,110,717,607,True
0,8,439,796,357,False
1,684,727,369,-358,True
1,691,198,509,311,True
1,159,648,758,110,False
-1,196,33,-17,-50,False
1,617,308,285,-23,False
-1,24,861,862,1,False
1,852,921,914,-7,True
1,173,661,464,-197,False
1,825,611,1099,488,True
0,856,941,288,-653,True
1,877,354,902,548,True
-1,305,231,180,-51,False
0,678,416,812,396,True
0,794,533,23,-510,True
1,103,322,461,139,False
0,135,130,672,542,False
0,653,98,557,459,True
1,445,965,277,-688,False
-1,110,549,500,-49,False
-1,482,202,334,132,True
0,126,362,721,359,False
1,222,527,219,-308,False
0,675,327,87,-240,True
1,76,929,365,-564,False
-1,627,772,-35,-807,True
1,840,294,964,670,True
-1,657,602,181,-421,True
-1,234,310,583,273,False
0,691,459,294,-165,True
1,477,966,901,-65,False
-1,338,779,657,-122,False
1,329,806,865,59,False
0,235,286,304,18,False
1,994,575,945,370,True
0,68,148,408,260,False
-1,923,453,487,34,True
-1,336,872,324,-548,False
0,366,86,613,527,False
0,985,303,747,444,True
0,94,80,539,459,False
0,590,770,974,204,True
1,473,909,422,-487,False
1,541,14,770,756,False
1,887,338,304,-34,True
1,16,325,237,-88,False
0,249,596,160,-436,False
0,960,377,683,306,True
0,418,208,133,-75,False
0,755,261,485,224,True
0,346,440,312,-128,False
1,895,928,256,-672,True
1,44,437,785,348,False
0,370,242,692,450,False
0,582,827,938,111,True
0,923,12,926,914,True
0,695,78,477,399,True
0,36,253,656,403,False
-1,77,840,511,-329,False
0,948,846,989,143,True
-1,279,658,-93,-751,False
0,364,828,362,-466,False
1,589,112,422,310,False
0,529,302,413,111,False
1,914,315,1014,699,True
-1,230,757,-87,-844,False
0,373,91,796,705,False
1,966,367,985,618,True
0,234,94,41,-53,False
1,765,659,540,-119,True
0,676,417,223,-194,True
-1,623,594,-1,-595,True
-1,352,104,613,509,False
1,656,51,752,701,False
0,387,316,213,-103,False
1,428,440,682,242,False
0,466,823,99,-724,False
1,214,669,327,-342,False
0,64,85,724,639,False
-1,356,191,383,192,False
0,949,24,80,56,True
-1,824,691,680,-11,True
0,137,594,268,-326,False
0,554,843,499,-344,False
-1,600,850,487,-363,True
1,840,197,700,503,True
0,904,349,637,288,True
1,507,224,730,506,False
0,689,690,291,-399,True
0,983,934,338,-596,True
-1,568,244,864,620,True
-1,135,667,335,-332,False
0,209,652,36,-616,False
1,75,380,1006,626,False
-1,904,878,169,-709,True
-1,725,246,132,-114,True
0,161,519,15,-504,False
-1,417,970,-37,-1007,False
-1,354,320,-17,-337,False
0,766,604,543,-61,True
1,571,189,899,710,False
1,809,221,832,611,True
-1,905,790,394,-396,True
-1,769,111,897,786,True
0,572,175,512,337,True
-1,963,638,121,-517,True
-1,100,184,-21,-205,False
-1,388,10,671,661,False
-1,7,913,859,-54,False
-1,108,772,-98,-870,False
0,701,509,937,428,True
1,406,279,113,-166,False
1,508,616,1025,409,False
1,722,189,887,698,True
0,724,597,825,228,True
-1,505,666,767,101,True
0,8,922,335,-587,False
0,451,72,217,145,False
-1,814,734,185,-549,True
-1,438,14,416,402,True
1,689,528,423,-105,True
-1,978,64,-83,-147,True
-1,536,432,628,196,True
-1,810,540,791,251,True
0,139,777,17,-760,False
0,427,100,864,764,False
0,5,76,622,546,False
1,179,878,316,-562,False
1,853,516,257,-259,True
-1,350,849,5,-844,False
-1,207,403,415,12,False
0,273,327,353,26,False
-1,461,760,167,-593,False
0,969,546,874,328,True
0,684,111,773,662,True
1,366,225,364,139,False
0,112,293,879,586,False
1,588,393,786,393,False
-1,868,55,298,243,True
0,105,907,640,-267,False
0,832,205,78,-127,True
1,31,419,577,158,False
-1,578,253,546,293,True
1,47,336,574,238,False
-1,678,34,-57,-91,True
0,169,821,303,-518,False
-1,1,605,246,-359,False
-1,524,195,-94,-289,True
1,590,867,532,-335,False
1,717,892,635,-257,True
1,882,816,194,-622,True
1,963,82,788,706,True
1,547,613,808,195,False
0,79,155,349,194,False
1,79,203,164,-39,False
1,544,414,666,252,False
1,396,635,332,-303,False
0,189,299,730,431,False
1,830,467,691,224,True
-1,556,997,807,-190,True
-1,106,750,216,-534,False
0,10,978,645,-333,False
0,323,365,445,80,False
1,705,115,800,685,True
-1,175,660,165,-495,False
0,845,570,944,374,True
1,370,385,305,-80,False
1,704,448,137,-311,True
-1,788,730,548,-182,True
0,666,444,473,29,True
0,839,58,456,398,True
1,788,94,649,555,True
-1,510,526,407,-119,True
-1,642,181,184,3,True
1,595,984,340,-644,False
1,721,212,793,581,True
-1,87,548,270,-278,False
-1,18,429,-16,-445,False
0,369,133,212,79,False
0,114,391,579,188,False
0,264,64,293,229,False
-1,4,822,734,-88,False
0,284,205,523,318,False
1,281,376,847,471,False
-1,744,177,211,34,True
-1,851,358,589,231,True
0,504,884,758,-126,False
-1,842,645,387,-258,True
0,552,839,35,-804,True
1,733,706,950,244,True
0,362,639,207,-432,False
0,196,289,663,374,False
-1,36,934,-4,-938,False
-1,644,666,437,-229,True
-1,118,399,66,-333,False
1,60,990,593,-397,False
-1,287,776,560,-216,False
-1,863,245,-28,-273,True
-1,395,849,827,-22,False
0,965,176,357,181,True
1,344,572,746,174,False
-1,371,627,659,32,False
1,610,147,393,246,False
-1,649,513,104,-409,True
-1,326,560,503,-57,False
1,971,647,485,-162,True
0,70,106,173,67,False
-1,48,105,15,-90,False
1,571,335,362,27,False
1,529,138,483,345,False
0,733,190,861,671,True
-1,704,990,576,-414,True
1,826,230,905,675,True
-1,577,933,503,-430,True
-1,604,796,107,-689,True
-1,849,596,181,-415,True
-1,326,194,339,145,False
0,962,324,748,424,True
1,957,433,369,-64,True
0,250,482,493,11,False
0,328,194,488,294,False
-1,45,614,388,-226,False
0,401,140,89,-51,False
-1,134,986,470,-516,False
0,967,665,574,-91,True
0,611,862,476,-386,True
0,304,977,777,-200,False
1,493,20,196,176,False
0,729,443,457,14,True
0,803,458,864,406,True
0,56,374,288,-86,False
0,401,5,597,592,False
1,160,302,662,360,False
0,238,171,842,671,False
0,87,383,630,247,False
0,796,823,660,-163,True
0,614,507,412,-95,True
1,911,423,529,106,True
1,728,429,138,-291,True
0,803,583,951,368,True
1,649,432,464,32,False
0,951,319,537,218,True
0,253,85,537,452,False
0,466,961,183,-778,False
1,510,6,604,598,False
0,879,371,370,-1,True
1,347,618,979,361,False
-1,158,911,846,-65,False
0,653,663,469,-194,True
-1,790,61,330,269,True
0,13,20,966,946,False
1,110,212,908,696,False
-1,869,743,387,-356,True
1,715,896,395,-501,True
1,306,299,722,423,False
-1,786,990,711,-279,True
1,631,226,842,616,False
0,996,619,195,-424,True
0,535,731,93,-638,False
0,94,416,798,382,False
1,79,115,689,574,False
0,668,337,340,3,True
0,622,232,391,159,True
-1,27,830,142,-688,False
0,317,1,918,917,False
1,118,727,467,-260,False
0,213,957,543,-414,False
0,950,638,520,-118,True
0,887,30,220,190,True
1,100,24,1024,1000,False
0,303,910,486,-424,False
1,275,100,820,720,False
-1,458,309,317,8,True
0,322,631,95,-536,False
0,211,529,255,-274,False
1,953,348,271,-77,True
1,284,545,853,308,False
0,879,861,200,-661,True
-1,71,435,358,-77,False
0,646,582,103,-479,True
-1,745,730,333,-397,True
-1,797,602,753,151,True
1,110,256,597,341,False
1,353,404,264,-140,False
1,723,500,566,66,True
0,897,104,439,335,True
0,480,895,345,-550,False
-1,424,836,798,-38,False
0,208,822,78,-744,False
0,753,262,42,-220,True
1,37,503,432,-71,False
-1,534,674,576,-98,True
0,239,62,280,218,False
-1,59,106,401,295,False
-1,743,750,575,-175,True
0,272,949,265,-684,False
1,531,446,669,223,False
-1,388,9,76,67,False
0,461,14,94,80,False
-1,458,494,-15,-509,False
1,978,292,492,200,True
-1,918,142,296,154,True
1,31,238,748,510,False
-1,861,350,528,178,True
0,258,379,616,237,False
0,889,678,923,245,True
0,578,105,127,22,True
-1,785,788,217,-571,True
-1,572,113,423,310,True
0,423,176,367,191,False
0,248,57,435,378,False
0,804,272,374,102,True
-1,970,742,484,-258,True
0,633,344,766,422,True
-1,341,227,50,-177,False
-1,593,808,639,-169,True
1,295,131,382,251,False
1,287,79,957,878,False
-1,435,796,834,38,True
1,778,122,185,63,True
0,56,233,54,-179,False
1,655,476,470,-6,True
0,293,955,446,-509,False
0,455,111,68,-43,False
0,180,509,942,433,False
0,905,216,202,-14,True
1,622,42,440,398,False
0,187,636,909,273,False
1,716,685,613,-72,True
1,317,898,595,-303,False
1,147,644,107,-537,False
1,534,338,458,120,False
0,704,342,596,254,True
0,663,105,210,105,True
1,298,835,164,-671,False
-1,463,505,431,-74,False
1,86,349,249,-100,False
-1,104,419,212,-207,False
1,868,136,140,4,True
1,585,160,419,259,False
1,582,34,567,533,False
1,62,83,1052,969,False
1,90,234,953,719,False
1,31,987,1029,42,False
1,347,326,830,504,False
1,87,255,378,123,False
1,348,351,460,109,False
-1,312,457,785,328,False
1,884,790,584,-206,True
-1,745,828,197,-631,True
0,81,745,974,229,False
-1,914,437,821,384,True
0,954,287,745,458,True
-1,570,598,69,-529,True
1,3,8,239,231,False
1,197,999,191,-808,False
1,934,513,123,-390,True
-1,628,607,727,120,True
-1,792,377,604,227,True
1,303,206,602,396,False
0,340,651,862,211,False
0,168,898,205,-693,False
0,36,193,214,21,False
1,517,29,766,737,False
0,219,396,779,383,False
0,764,851,482,-369,True
0,327,732,168,-564,False
0,780,774,648,-126,True
-1,693,368,365,-3,True
0,425,245,510,265,False
0,300,862,645,-217,False
1,224,60,643,583,False
-1,484,429,673,244,True
-1,739,3,503,500,True
0,408,326,670,344,False
-1,608,509,50,-459,True
1,754,921,1069,148,True
0,940,169,119,-50,True
1,501,861,500,-361,False
0,151,137,972,835,False
0,219,854,203,-651,False
-1,466,379,668,289,True
-1,874,461,11,-450,True
-1,966,312,573,261,True
-1,401,921,892,-29,False
0,699,105,275,170,True
-1,392,780,806,26,False
1,928,57,115,58,True
0,51,159,835,676,False
0,734,521,914,393,True
1,330,586,935,349,False
1,746,192,785,593,True
0,663,536,743,207,True
1,781,837,284,-553,True
1,763,902,724,-178,True
-1,62,797,443,-354,False
1,133,266,763,497,False
0,504,121,39,-82,False
1,171,824,345,-479,False
-1,177,542,831,289,False
-1,346,940,81,-859,False
-1,955,689,345,-344,True
0,868,742,390,-352,True
1,494,934,371,-563,False
0,273,618,814,196,False
1,976,745,1098,353,True
1,343,289,579,290,False
0,654,308,319,11,True
0,365,242,480,238,False
-1,897,271,566,295,True
-1,240,91,514,423,False
0,880,930,111,-819,True
0,530,925,187,-738,False
-1,409,324,638,314,False
0,406,768,392,-376,False
0,124,813,947,134,False
-1,931,417,182,-235,True
-1,930,835,243,-592,True
-1,86,831,123,-708,False
1,143,662,995,333,False
0,16,828,182,-646,False
1,797,809,1038,229,True
-1,518,525,355,-170,True
1,559,387,344,-43,False
1,556,67,562,495,False
0,871,213,279,66,True
1,137,22,748,726,False
1,245,696,123,-573,False
1,785,995,539,-456,True
0,608,774,899,125,True
0,610,619,588,-31,True
1,557,857,265,-592,False
-1,108,990,397,-593,False
-1,23,717,834,117,False
0,214,950,944,-6,False
0,134,600,603,3,False
1,386,341,149,-192,False
0,806,536,35,-501,True
1,433,275,584,309,False
0,628,436,642,206,True
-1,753,354,37,-317,True
-1,53,472,110,-362,False
-1,685,194,797,603,True
0,78,231,992,761,False
0,510,573,299,-274,False
0,905,88,482,394,True
1,683,281,378,97,True
-1,726,854,620,-234,True
0,996,169,295,126,True
1,210,830,854,24,False
0,825,910,140,-770,True
-1,595,20,433,413,True
0,431,660,577,-83,False
0,430,668,111,-557,False
0,340,587,889,302,False
0,290,188,306,118,False
-1,240,984,267,-717,False
-1,499,377,-35,-412,True
1,48,708,406,-302,False
-1,788,767,839,72,True
1,786,431,166,-265,True
-1,210,662,-84,-746,False
0,465,431,973,542,False
1,338,270,263,-7,False
0,86,915,451,-464,False
0,655,743,680,-63,True
1,569,859,403,-456,False
1,481,342,433,91,False
1,173,637,1082,445,False
0,838,572,79,-493,True
0,196,760,163,-597,False
-1,797,575,493,-82,True
1,232,871,363,-508,False
0,116,391,590,199,False
1,960,302,1071,769,True
-1,665,993,667,-326,True
1,758,500,939,439,True
0,210,382,268,-114,False
0,180,817,908,91,False
-1,159,378,222,-156,False
-1,901,196,386,190,True
1,994,850,601,-249,True
0,576,198,353,155,True
0,886,98,225,127,True
0,540,682,322,-360,False
0,515,714,972,258,False
1,825,982,799,-183,True
-1,804,848,292,-556,True
-1,762,493,-61,-554,True
-1,261,352,769,417,False
1,970,678,654,-24,True
-1,203,474,354,-120,False
1,199,93,865,772,False
1,274,512,614,102,False
1,656,437,682,245,True
-1,706,677,438,-239,True
1,320,274,954,680,False
1,566,724,419,-305,False
0,802,189,565,376,True
1,921,620,550,-70,True
-1,645,491,780,289,True
0,683,927,399,-528,True
1,602,665,594,-71,False
-1,911,696,578,-118,True
0,162,837,785,-52,False
1,292,815,1006,191,False
1,972,47,715,668,True
1,123,672,407,-265,False
0,711,956,13,-943,True
-1,150,804,734,-70,False
0,825,428,995,567,True
0,949,831,72,-759,True
1,163,756,941,185,False
1,824,348,825,477,True
-1,501,316,686,370,True
0,89,513,327,-186,False
1,256,364,655,291,False
1,939,44,1018,974,True
0,994,424,970,546,True
0,730,17,371,354,True
1,485,257,549,292,False
0,15,37,245,208,False
1,654,943,1044,101,False
0,186,708,889,181,False
0,989,286,563,277,True
1,472,638,142,-496,False
-1,484,315,503,188,True
-1,956,718,769,51,True
1,551,457,280,-177,False
1,343,36,153,117,False
0,880,81,791,710,True
0,608,11,8,-3,True
1,948,205,655,450,True
-1,665,833,-62,-895,True
1,674,633,222,-411,False
-1,954,207,827,620,True
1,356,402,312,-90,False
0,371,817,741,-76,False
-1,669,165,861,696,True
-1,268,857,-29,-886,False
0,922,988,195,-793,True
1,552,985,1046,61,False
1,297,541,817,276,False
-1,19,310,887,577,False
-1,305,502,895,393,False
1,702,318,874,556,True
-1,855,733,-66,-799,True
1,871,318,879,561,True
1,870,303,640,337,True
1,75,236,164,-72,False
0,615,99,79,-20,True
1,51,755,675,-80,False
0,857,981,821,-160,True
0,927,139,254,115,True
0,568,973,645,-328,False
-1,553,863,80,-783,True
-1,146,473,627,154,False
1,914,506,328,-178,True
0,692,561,460,-101,True
-1,902,575,653,78,True
0,343,287,854,567,False
-1,524,772,783,11,True
-1,583,774,386,-388,True
0,631,980,393,-587,True
0,500,581,171,-410,False
0,781,457,649,192,True
1,983,282,838,556,True
1,577,1,718,717,False
-1,442,941,280,-661,False
0,623,498,419,-79,True
1,10,796,162,-634,False
-1,659,348,393,45,True
1,672,872,724,-148,True
-1,6,774,714,-60,False
-1,471,841,378,-463,True
0,680,699,129,-570,True
1,588,184,984,800,False
0,403,889,749,-140,False
1,459,322,733,411,False
1,187,211,297,86,False
0,751,268,203,-65,True
0,798,212,196,-16,True
1,220,420,1024,604,False
1,631,99,834,735,False
-1,36,687,652,-35,False
-1,823,364,719,355,True
1,846,341,490,149,True
-1,206,106,772,666,False
1,210,419,678,259,False
1,609,528,1062,534,False
1,876,938,670,-268,True
1,797,809,1028,219,True
0,786,323,331,8,True
1,70,968,1001,33,False
0,747,371,671,300,True
0,958,290,186,-104,True
-1,533,556,812,256,True
1,651,173,578,405,True
-1,176,616,726,110,False
1,685,996,769,-227,True
0,796,914,995,81,True
-1,654,836,45,-791,True
1,490,263,1059,796,False
0,693,215,461,246,True
1,565,935,1029,94,False
1,100,696,853,157,False
1,138,240,134,-106,False
-1,467,219,384,165,True
1,293,55,494,439,False
-1,918,429,379,-50,True
-1,282,990,405,-585,False
0,466,26,246,220,False
-1,648,939,22,-917,True
-1,529,548,649,101,True
1,773,653,886,233,True
1,866,679,253,-426,True
1,397,203,145,-58,False
0,763,566,690,124,True
-1,559,486,276,-210,True
-1,453,632,293,-339,False
-1,294,863,722,-141,False
0,270,894,639,-255,False
1,100,683,849,166,False
1,730,482,778,296,True
1,606,170,164,-6,False
-1,248,648,124,-524,False
1,998,726,822,96,True
-1,461,382,497,115,True
-1,86,399,225,-174,False
0,429,848,115,-733,False
-1,764,567,185,-382,True
0,610,936,801,-135,True
-1,247,392,236,-156,False
-1,176,509,-12,-521,False
-1,965,48,495,447,True
1,913,204,422,218,True
1,910,691,951,260,True
0,385,291,172,-119,False
1,491,295,958,663,False
0,631,663,459,-204,True
0,263,845,531,-314,False
-1,363,402,101,-301,False
0,81,241,711,470,False
0,465,72,267,195,False
1,5,716,894,178,False
1,622,502,440,-62,False
1,258,103,356,253,False
1,965,64,1011,947,True
1,2,991,797,-194,False
-1,541,425,185,-240,True
1,388,461,233,-228,False
1,785,924,752,-172,True
0,293,989,763,-226,False
1,463,34,129,95,False
-1,94,403,657,254,False
1,750,280,883,603,True
1,131,954,457,-497,False
1,605,893,528,-365,False
1,867,562,614,52,True
-1,211,751,-24,-775,False
0,515,602,641,39,False
-1,434,396,200,-196,False
0,278,82,627,545,False
1,976,13,933,920,True
1,160,431,921,490,False
-1,478,773,103,-670,False
-1,406,222,81,-141,False
1,553,709,893,184,False
-1,825,410,734,324,True
1,829,264,510,246,True
1,853,481,377,-104,True
0,803,543,978,435,True
1,973,523,987,464,True
1,389,745,517,-228,False
0,631,726,979,253,True
-1,474,545,724,179,True
0,843,581,799,218,True
1,371,464,830,366,False
-1,836,739,641,-98,True
0,369,151,650,499,False
-1,605,28,73,45,True
0,312,932,200,-732,False
1,62,168,514,346,False
-1,489,741,187,-554,False
0,822,680,769,89,True
1,999,544,936,392,True
1,21,304,1037,733,False
0,75,597,390,-207,False
-1,398,455,30,-425,False
1,177,747,350,-397,False
-1,967,122,-90,-212,True
0,493,253,763,510,False
1,438,126,848,722,False
-1,776,121,7,-114,True
-1,794,986,-84,-1070,True
1,255,702,148,-554,False
0,133,503,780,277,False
1,523,931,378,-553,False
1,328,291,794,503,False
1,727,244,591,347,True
-1,720,967,374,-593,True
-1,440,245,660,415,True
-1,785,729,-17,-746,True
-1,769,380,-88,-468,True
-1,398,325,609,284,False
-1,655,185,295,110,True
0,768,465,741,276,True
1,872,227,117,-110,True
0,764,809,668,-141,True
0,685,306,137,-169,True
-1,449,564,585,21,False
